,abortion,eth,male,age,educ,repvote,region,state
78,0,White,-0.5,50-59,Post-grad,0.409799486,North Central,IL
79,1,White,-0.5,60-69,4-Year College,0.518900234,West,AZ
80,1,White,0.5,30-39,Post-grad,0.519037458,South,NC
81,0,Other,-0.5,30-39,Post-grad,0.42715809899999996,Northeast,NJ
82,0,White,-0.5,60-69,Some college,0.338717892,West,CA
83,0,White,-0.5,30-39,Post-grad,0.59818561,North Central,MO
84,0,Black,-0.5,30-39,Some college,0.542676846,North Central,OH
85,0,White,-0.5,40-49,No HS,0.484032089,Northeast,ME
86,0,White,-0.5,70+,HS,0.338717892,West,CA
87,1,White,0.5,60-69,HS,0.338717892,West,CA
88,1,White,0.5,60-69,Some college,0.338717892,West,CA
89,0,White,-0.5,18-29,4-Year College,0.473166666,West,CO
90,1,White,-0.5,60-69,HS,0.5037553579999999,Northeast,PA
91,1,White,-0.5,70+,Some college,0.338717892,West,CA
92,0,Black,-0.5,60-69,Post-grad,0.501176682,North Central,MI
93,1,White,0.5,50-59,4-Year College,0.519037458,South,NC
94,0,White,-0.5,70+,4-Year College,0.35348721299999997,Northeast,MA
95,0,White,-0.5,40-49,Some college,0.438441611,West,OR
96,1,White,0.5,70+,4-Year College,0.338717892,West,CA
97,0,Black,-0.5,30-39,Post-grad,0.519037458,South,NC
98,1,White,-0.5,40-49,Post-grad,0.6017167720000001,South,LA
99,0,White,0.5,50-59,Post-grad,0.409799486,North Central,IL
100,1,White,-0.5,50-59,Some college,0.519037458,South,NC
101,0,White,-0.5,60-69,4-Year College,0.382275815,Northeast,NY
102,0,White,0.5,60-69,Post-grad,0.382275815,Northeast,NY
103,1,White,-0.5,40-49,Post-grad,0.409799486,North Central,IL
104,1,White,0.5,60-69,4-Year College,0.5266117260000001,South,GA
105,0,White,-0.5,40-49,Some college,0.574602564,South,SC
106,0,White,-0.5,60-69,Some college,0.506188355,South,FL
107,1,White,0.5,60-69,Some college,0.601173095,North Central,IN
108,0,White,-0.5,40-49,Some college,0.542676846,North Central,OH
109,0,White,-0.5,60-69,4-Year College,0.338717892,West,CA
110,1,White,-0.5,60-69,4-Year College,0.50407989,North Central,WI
111,1,White,0.5,40-49,Some college,0.50407989,North Central,WI
112,0,White,-0.5,30-39,4-Year College,0.5266117260000001,South,GA
113,1,White,-0.5,60-69,4-Year College,0.643741436,South,AL
114,0,White,-0.5,50-59,Some college,0.506188355,South,FL
115,0,White,-0.5,50-59,4-Year College,0.643741436,South,AL
116,1,White,-0.5,70+,Some college,0.5266117260000001,South,GA
117,1,White,0.5,50-59,Some college,0.484032089,Northeast,ME
118,0,White,-0.5,40-49,Post-grad,0.542676846,North Central,OH
119,0,White,-0.5,40-49,Post-grad,0.416892959,Northeast,RI
120,1,Hispanic,0.5,50-59,4-Year College,0.338717892,West,CA
121,0,Other,-0.5,50-59,4-Year College,0.471736237,South,VA
122,0,White,-0.5,70+,4-Year College,0.338717892,West,CA
123,0,Black,-0.5,30-39,HS,0.501176682,North Central,MI
124,1,Black,-0.5,40-49,Post-grad,0.409799486,North Central,IL
125,1,Black,-0.5,50-59,4-Year College,0.590898473,South,MS
126,0,Black,-0.5,50-59,Post-grad,0.506188355,South,FL
127,1,White,-0.5,60-69,HS,0.471736237,South,VA
128,0,White,0.5,60-69,HS,0.338717892,West,CA
129,0,White,-0.5,40-49,Some college,0.409799486,North Central,IL
130,0,White,-0.5,50-59,Some college,0.338717892,West,CA
131,1,White,0.5,70+,Post-grad,0.409799486,North Central,IL
132,1,Other,0.5,50-59,Some college,0.542676846,North Central,OH
133,0,White,-0.5,60-69,4-Year College,0.42715809899999996,Northeast,NJ
134,1,White,-0.5,50-59,4-Year College,0.501176682,North Central,MI
135,0,White,-0.5,60-69,4-Year College,0.471736237,South,VA
136,1,White,0.5,60-69,Some college,0.506188355,South,FL
137,1,White,-0.5,70+,Some college,0.338717892,West,CA
138,1,White,0.5,70+,Some college,0.501176682,North Central,MI
139,0,White,-0.5,30-39,HS,0.382275815,Northeast,NY
140,1,White,-0.5,60-69,Post-grad,0.487062906,West,NV
141,0,White,0.5,50-59,HS,0.41213068799999997,West,WA
142,0,White,-0.5,30-39,HS,0.63624343,South,TN
143,0,White,-0.5,60-69,Some college,0.518900234,West,AZ
144,1,White,0.5,50-59,Some college,0.583856547,West,AK
145,0,Other,0.5,60-69,Post-grad,0.498029716,Northeast,NH
146,1,White,-0.5,50-59,HS,0.611096643,West,MT
147,0,White,-0.5,30-39,4-Year College,0.473166666,West,CO
148,1,White,0.5,50-59,HS,0.574602564,South,SC
149,1,White,-0.5,40-49,HS,0.601173095,North Central,IN
150,1,White,0.5,70+,4-Year College,0.63624343,South,TN
151,1,Hispanic,-0.5,50-59,Some college,0.547132256,South,TX
152,0,White,-0.5,50-59,Some college,0.473166666,West,CO
153,0,White,-0.5,18-29,Some college,0.35983750299999995,South,MD
154,0,White,-0.5,30-39,HS,0.41213068799999997,West,WA
155,0,White,0.5,40-49,4-Year College,0.63624343,South,TN
156,1,White,0.5,60-69,Some college,0.6017167720000001,South,LA
157,1,White,0.5,60-69,HS,0.659718581,North Central,SD
158,0,White,-0.5,40-49,Some college,0.5266117260000001,South,GA
159,0,White,-0.5,50-59,Post-grad,0.6017167720000001,South,LA
160,1,White,0.5,70+,Post-grad,0.550635478,North Central,IA
161,0,Black,-0.5,60-69,Post-grad,0.5266117260000001,South,GA
162,0,Black,-0.5,60-69,Post-grad,0.643741436,South,AL
163,0,White,-0.5,30-39,Post-grad,0.471736237,South,VA
164,0,White,-0.5,60-69,4-Year College,0.519037458,South,NC
165,0,White,-0.5,50-59,Post-grad,0.643741436,South,AL
166,0,White,0.5,60-69,4-Year College,0.63624343,South,TN
167,0,Other,-0.5,18-29,HS,0.338717892,West,CA
168,0,White,0.5,50-59,4-Year College,0.519037458,South,NC
169,1,White,0.5,70+,Some college,0.643741436,South,AL
170,0,White,-0.5,70+,Post-grad,0.6111147029999999,North Central,KS
171,0,White,0.5,70+,Some college,0.547132256,South,TX
172,0,White,0.5,18-29,4-Year College,0.623836582,West,UT
173,1,White,0.5,70+,4-Year College,0.550635478,North Central,IA
174,0,White,0.5,70+,4-Year College,0.5266117260000001,South,GA
175,1,Other,-0.5,18-29,Some college,0.382275815,Northeast,NY
176,1,White,-0.5,40-49,4-Year College,0.550635478,North Central,IA
177,1,White,0.5,60-69,Some college,0.63624343,South,TN
178,1,Black,0.5,50-59,HS,0.42715809899999996,Northeast,NJ
179,0,White,-0.5,40-49,Some college,0.721610523,South,WV
180,1,Other,-0.5,30-39,Post-grad,0.506188355,South,FL
181,0,White,-0.5,40-49,Some college,0.5037553579999999,Northeast,PA
182,0,White,-0.5,50-59,Post-grad,0.583856547,West,AK
183,0,White,0.5,50-59,Some college,0.65670629,South,KY
184,1,White,-0.5,40-49,Post-grad,0.409799486,North Central,IL
185,1,White,0.5,60-69,Post-grad,0.6017167720000001,South,LA
186,0,White,-0.5,40-49,No HS,0.643741436,South,AL
187,0,White,-0.5,40-49,Some college,0.547132256,South,TX
188,1,Hispanic,-0.5,30-39,HS,0.547132256,South,TX
189,1,White,-0.5,50-59,Some college,0.65670629,South,KY
190,0,White,-0.5,50-59,4-Year College,0.382275815,Northeast,NY
191,1,White,-0.5,50-59,Post-grad,0.409799486,North Central,IL
192,1,White,0.5,50-59,Some college,0.6111147029999999,North Central,KS
193,0,White,-0.5,60-69,Some college,0.6428513770000001,South,AR
194,1,White,0.5,50-59,HS,0.659718581,North Central,SD
195,0,White,-0.5,60-69,Some college,0.643741436,South,AL
196,0,White,-0.5,18-29,Some college,0.338717892,West,CA
197,1,Black,-0.5,50-59,Some college,0.590898473,South,MS
198,1,Black,-0.5,30-39,Some college,0.643741436,South,AL
199,1,White,0.5,60-69,Some college,0.6354767410000001,North Central,NE
200,0,White,-0.5,18-29,Some college,0.659718581,North Central,SD
201,1,White,0.5,40-49,Some college,0.6111147029999999,North Central,KS
202,1,White,0.5,40-49,Some college,0.5266117260000001,South,GA
203,1,White,-0.5,50-59,Some college,0.6111147029999999,North Central,KS
204,0,Other,0.5,30-39,HS,0.338717892,West,CA
205,0,Hispanic,-0.5,60-69,Some college,0.453492051,West,NM
206,0,White,-0.5,40-49,4-Year College,0.659718581,North Central,SD
207,0,White,-0.5,50-59,Some college,0.550635478,North Central,IA
208,0,White,0.5,50-59,HS,0.487062906,West,NV
209,1,White,0.5,70+,Some college,0.6354767410000001,North Central,NE
210,0,White,-0.5,18-29,Some college,0.721610523,South,WV
211,0,White,-0.5,30-39,HS,0.428584525,Northeast,CT
212,0,White,-0.5,18-29,Some college,0.491681431,North Central,MN
213,1,White,-0.5,70+,HS,0.382275815,Northeast,NY
214,1,White,-0.5,70+,No HS,0.65670629,South,KY
215,0,White,0.5,18-29,4-Year College,0.5037553579999999,Northeast,PA
216,0,White,-0.5,60-69,HS,0.5037553579999999,Northeast,PA
217,0,White,-0.5,50-59,HS,0.382275815,Northeast,NY
218,0,White,-0.5,18-29,HS,0.409799486,North Central,IL
219,0,White,-0.5,40-49,Some college,0.506188355,South,FL
220,1,White,0.5,40-49,HS,0.574602564,South,SC
221,1,White,-0.5,70+,HS,0.338717892,West,CA
222,0,White,-0.5,40-49,Some college,0.59818561,North Central,MO
223,1,White,-0.5,40-49,HS,0.5037553579999999,Northeast,PA
224,1,White,-0.5,60-69,HS,0.50407989,North Central,WI
225,1,White,-0.5,40-49,4-Year College,0.65670629,South,KY
226,0,White,0.5,40-49,HS,0.506188355,South,FL
227,1,White,0.5,70+,HS,0.519037458,South,NC
228,0,White,-0.5,30-39,Some college,0.6017167720000001,South,LA
229,0,White,0.5,60-69,Some college,0.542676846,North Central,OH
230,0,White,0.5,30-39,Some college,0.382275815,Northeast,NY
231,1,White,-0.5,70+,4-Year College,0.41213068799999997,West,WA
232,1,White,-0.5,40-49,4-Year College,0.519037458,South,NC
233,0,White,0.5,60-69,4-Year College,0.506188355,South,FL
234,0,White,-0.5,60-69,4-Year College,0.50407989,North Central,WI
235,0,White,0.5,18-29,4-Year College,0.643741436,South,AL
236,1,White,-0.5,50-59,Some college,0.542676846,North Central,OH
237,1,White,0.5,70+,Post-grad,0.506188355,South,FL
238,0,White,0.5,70+,Post-grad,0.506188355,South,FL
239,0,White,-0.5,30-39,Some college,0.50407989,North Central,WI
240,0,White,-0.5,50-59,Some college,0.50407989,North Central,WI
241,0,Hispanic,-0.5,40-49,Some college,0.382275815,Northeast,NY
242,1,White,-0.5,30-39,HS,0.721610523,South,WV
243,0,White,-0.5,30-39,Some college,0.409799486,North Central,IL
244,0,White,-0.5,40-49,Some college,0.501176682,North Central,MI
245,0,Hispanic,-0.5,60-69,4-Year College,0.453492051,West,NM
246,0,White,0.5,50-59,4-Year College,0.506188355,South,FL
247,1,White,0.5,40-49,4-Year College,0.41213068799999997,West,WA
248,0,White,0.5,40-49,Some college,0.542676846,North Central,OH
249,0,Black,-0.5,18-29,Some college,0.506188355,South,FL
250,0,White,-0.5,70+,Post-grad,0.506188355,South,FL
251,0,White,0.5,40-49,4-Year College,0.338717892,West,CA
252,1,White,-0.5,40-49,Post-grad,0.601173095,North Central,IN
253,0,White,0.5,70+,Post-grad,0.519037458,South,NC
254,0,White,0.5,50-59,4-Year College,0.438441611,West,OR
255,1,White,-0.5,70+,4-Year College,0.547132256,South,TX
256,1,White,-0.5,60-69,Some college,0.5037553579999999,Northeast,PA
257,1,White,-0.5,30-39,4-Year College,0.35348721299999997,Northeast,MA
258,1,White,-0.5,40-49,Some college,0.471736237,South,VA
259,0,White,-0.5,50-59,Some college,0.59818561,North Central,MO
260,1,White,0.5,30-39,Post-grad,0.471736237,South,VA
261,0,White,0.5,40-49,Post-grad,0.471736237,South,VA
262,1,White,-0.5,50-59,Some college,0.65670629,South,KY
263,0,White,-0.5,40-49,4-Year College,0.542676846,North Central,OH
264,1,White,-0.5,40-49,Some college,0.721610523,South,WV
265,0,White,0.5,30-39,Post-grad,0.506188355,South,FL
266,0,White,-0.5,50-59,Some college,0.518900234,West,AZ
267,1,White,0.5,50-59,Some college,0.518900234,West,AZ
268,1,White,-0.5,50-59,4-Year College,0.506188355,South,FL
269,1,White,0.5,50-59,4-Year College,0.59818561,North Central,MO
270,1,Other,-0.5,30-39,Some college,0.338717892,West,CA
271,0,White,-0.5,60-69,Some college,0.5037553579999999,Northeast,PA
272,1,White,0.5,50-59,HS,0.409799486,North Central,IL
273,1,Hispanic,0.5,60-69,4-Year College,0.471736237,South,VA
274,1,White,0.5,60-69,4-Year College,0.623836582,West,UT
275,0,White,-0.5,40-49,Some college,0.338717892,West,CA
276,0,White,0.5,60-69,Some college,0.643741436,South,AL
277,1,White,0.5,40-49,Some college,0.506188355,South,FL
278,1,White,-0.5,50-59,4-Year College,0.506188355,South,FL
279,1,White,-0.5,60-69,Some college,0.491681431,North Central,MN
280,0,White,-0.5,30-39,4-Year College,0.59818561,North Central,MO
281,0,Black,0.5,60-69,Some college,0.506188355,South,FL
282,1,White,0.5,50-59,Some college,0.693047372,South,OK
283,1,White,-0.5,70+,4-Year College,0.501176682,North Central,MI
284,0,White,-0.5,30-39,Post-grad,0.471736237,South,VA
285,0,Other,-0.5,30-39,Some college,0.501176682,North Central,MI
286,0,White,-0.5,60-69,4-Year College,0.547132256,South,TX
287,1,White,0.5,40-49,4-Year College,0.409799486,North Central,IL
288,1,White,0.5,70+,Some college,0.547132256,South,TX
289,0,White,-0.5,50-59,Some college,0.382275815,Northeast,NY
290,1,White,-0.5,50-59,No HS,0.643741436,South,AL
291,0,White,0.5,30-39,Post-grad,0.35983750299999995,South,MD
292,0,White,-0.5,30-39,Post-grad,0.382275815,Northeast,NY
293,1,White,0.5,40-49,Some college,0.547132256,South,TX
294,1,White,0.5,60-69,HS,0.6428513770000001,South,AR
295,0,White,0.5,70+,4-Year College,0.547132256,South,TX
296,1,Other,0.5,50-59,Some college,0.693047372,South,OK
297,0,White,-0.5,50-59,Some college,0.6017167720000001,South,LA
298,0,White,-0.5,60-69,4-Year College,0.487062906,West,NV
299,1,Hispanic,-0.5,30-39,Post-grad,0.6017167720000001,South,LA
300,0,White,-0.5,60-69,4-Year College,0.501176682,North Central,MI
301,0,White,-0.5,40-49,Some college,0.63624343,South,TN
302,0,White,-0.5,60-69,Some college,0.547132256,South,TX
303,0,White,0.5,18-29,4-Year College,0.487062906,West,NV
304,1,White,0.5,50-59,HS,0.63624343,South,TN
305,0,White,0.5,60-69,4-Year College,0.438441611,West,OR
306,1,White,0.5,40-49,HS,0.506188355,South,FL
307,0,White,-0.5,40-49,Some college,0.518900234,West,AZ
308,1,White,-0.5,60-69,Some college,0.506188355,South,FL
309,1,White,0.5,40-49,Some college,0.643741436,South,AL
310,0,White,-0.5,30-39,Post-grad,0.542676846,North Central,OH
311,0,White,-0.5,18-29,HS,0.542676846,North Central,OH
312,1,White,0.5,60-69,Post-grad,0.623836582,West,UT
313,1,Black,-0.5,30-39,Some college,0.338717892,West,CA
314,0,White,0.5,50-59,HS,0.506188355,South,FL
315,0,White,-0.5,18-29,HS,0.6017167720000001,South,LA
316,0,Black,-0.5,40-49,Post-grad,0.409799486,North Central,IL
317,0,White,0.5,18-29,Post-grad,0.382275815,Northeast,NY
318,0,Black,-0.5,40-49,Some college,0.506188355,South,FL
319,0,White,0.5,30-39,Post-grad,0.382275815,Northeast,NY
320,0,White,0.5,60-69,Some college,0.601173095,North Central,IN
321,0,White,-0.5,40-49,HS,0.547132256,South,TX
322,1,White,-0.5,50-59,Some college,0.63624343,South,TN
323,0,Black,0.5,50-59,HS,0.6017167720000001,South,LA
324,0,Black,-0.5,60-69,4-Year College,0.382275815,Northeast,NY
325,1,White,-0.5,30-39,4-Year College,0.42715809899999996,Northeast,NJ
326,0,White,0.5,30-39,4-Year College,0.542676846,North Central,OH
327,1,White,0.5,60-69,Some college,0.338717892,West,CA
328,1,Other,-0.5,60-69,Post-grad,0.35983750299999995,South,MD
329,1,White,-0.5,50-59,4-Year College,0.683101767,West,ID
330,0,Other,-0.5,40-49,HS,0.325586625,West,HI
331,0,White,-0.5,60-69,Some college,0.338717892,West,CA
332,0,White,-0.5,60-69,Some college,0.506188355,South,FL
333,1,White,-0.5,40-49,Post-grad,0.338717892,West,CA
334,1,White,-0.5,70+,Some college,0.50407989,North Central,WI
335,0,Other,0.5,70+,Some college,0.583856547,West,AK
336,0,White,-0.5,70+,Some college,0.506188355,South,FL
337,0,White,-0.5,60-69,4-Year College,0.453492051,West,NM
338,0,Other,-0.5,50-59,Some college,0.506188355,South,FL
339,1,White,-0.5,18-29,Some college,0.59818561,North Central,MO
340,1,White,0.5,60-69,4-Year College,0.409799486,North Central,IL
341,1,White,-0.5,70+,HS,0.498029716,Northeast,NH
342,0,White,0.5,50-59,Some college,0.519037458,South,NC
343,0,White,-0.5,30-39,Post-grad,0.506188355,South,FL
344,0,White,-0.5,18-29,Some college,0.574602564,South,SC
345,1,White,0.5,70+,Post-grad,0.338717892,West,CA
346,1,White,-0.5,60-69,HS,0.506188355,South,FL
347,0,White,-0.5,60-69,Some college,0.519037458,South,NC
348,0,White,0.5,70+,Some college,0.5266117260000001,South,GA
349,0,White,-0.5,50-59,HS,0.50407989,North Central,WI
350,1,White,0.5,50-59,Some college,0.491681431,North Central,MN
351,0,White,0.5,50-59,HS,0.519037458,South,NC
352,0,White,0.5,60-69,Some college,0.382275815,Northeast,NY
353,1,White,-0.5,30-39,4-Year College,0.643741436,South,AL
354,0,Black,-0.5,50-59,4-Year College,0.547132256,South,TX
355,1,White,0.5,70+,Post-grad,0.471736237,South,VA
356,0,White,0.5,70+,Post-grad,0.35983750299999995,South,MD
357,1,White,-0.5,40-49,Post-grad,0.5037553579999999,Northeast,PA
358,0,White,-0.5,50-59,4-Year College,0.643741436,South,AL
359,1,White,-0.5,60-69,Some college,0.683101767,West,ID
360,1,White,0.5,60-69,Some college,0.519037458,South,NC
361,1,White,0.5,50-59,HS,0.501176682,North Central,MI
362,0,Other,0.5,60-69,Some college,0.506188355,South,FL
363,1,White,0.5,60-69,4-Year College,0.5266117260000001,South,GA
364,0,White,-0.5,18-29,Post-grad,0.35983750299999995,South,MD
365,1,White,0.5,60-69,4-Year College,0.506188355,South,FL
366,0,White,-0.5,60-69,4-Year College,0.506188355,South,FL
367,0,White,-0.5,60-69,Post-grad,0.428584525,Northeast,CT
368,0,White,0.5,70+,HS,0.382275815,Northeast,NY
369,1,White,-0.5,50-59,HS,0.382275815,Northeast,NY
370,0,White,0.5,60-69,Post-grad,0.473166666,West,CO
371,0,White,0.5,30-39,4-Year College,0.501176682,North Central,MI
372,1,White,-0.5,50-59,4-Year College,0.5266117260000001,South,GA
373,1,White,0.5,70+,No HS,0.506188355,South,FL
374,0,Hispanic,-0.5,18-29,4-Year College,0.547132256,South,TX
375,0,White,0.5,60-69,Post-grad,0.473166666,West,CO
376,1,White,-0.5,50-59,Some college,0.5266117260000001,South,GA
377,0,White,-0.5,40-49,HS,0.382275815,Northeast,NY
378,0,White,-0.5,50-59,Post-grad,0.506188355,South,FL
379,1,White,0.5,30-39,Some college,0.50407989,North Central,WI
380,0,White,-0.5,30-39,Post-grad,0.50407989,North Central,WI
381,1,Other,0.5,70+,Some college,0.338717892,West,CA
382,0,White,-0.5,60-69,Some college,0.438441611,West,OR
383,0,Black,-0.5,50-59,4-Year College,0.601173095,North Central,IN
384,0,White,-0.5,60-69,Some college,0.643741436,South,AL
385,1,White,-0.5,40-49,Post-grad,0.473166666,West,CO
386,0,White,-0.5,50-59,Post-grad,0.42715809899999996,Northeast,NJ
387,0,Other,0.5,40-49,Post-grad,0.487062906,West,NV
388,1,White,-0.5,70+,HS,0.438441611,West,OR
389,0,White,-0.5,50-59,4-Year College,0.41213068799999997,West,WA
390,0,White,-0.5,70+,Post-grad,0.574602564,South,SC
391,0,White,-0.5,70+,Post-grad,0.35983750299999995,South,MD
392,0,White,0.5,50-59,Post-grad,0.5266117260000001,South,GA
393,0,White,-0.5,70+,4-Year College,0.382275815,Northeast,NY
394,1,White,0.5,50-59,4-Year College,0.338717892,West,CA
395,1,White,-0.5,60-69,Post-grad,0.382275815,Northeast,NY
396,1,White,0.5,60-69,Some college,0.547132256,South,TX
397,1,White,-0.5,60-69,4-Year College,0.601173095,North Central,IN
398,0,White,-0.5,50-59,Some college,0.42715809899999996,Northeast,NJ
399,0,White,-0.5,60-69,4-Year College,0.471736237,South,VA
400,1,White,-0.5,70+,Post-grad,0.338717892,West,CA
401,0,White,-0.5,40-49,Some college,0.409799486,North Central,IL
402,1,White,-0.5,40-49,HS,0.5037553579999999,Northeast,PA
403,1,White,-0.5,18-29,Some college,0.382275815,Northeast,NY
404,0,White,0.5,70+,Post-grad,0.471736237,South,VA
405,0,Black,0.5,50-59,HS,0.542676846,North Central,OH
406,0,White,0.5,60-69,Some college,0.501176682,North Central,MI
407,1,White,0.5,30-39,4-Year College,0.5037553579999999,Northeast,PA
408,0,White,0.5,60-69,4-Year College,0.547132256,South,TX
409,0,White,0.5,50-59,4-Year College,0.643741436,South,AL
410,0,White,-0.5,18-29,HS,0.63624343,South,TN
411,0,White,-0.5,50-59,Post-grad,0.338717892,West,CA
412,1,White,-0.5,60-69,Some college,0.506188355,South,FL
413,1,White,-0.5,50-59,4-Year College,0.65670629,South,KY
414,0,White,0.5,60-69,No HS,0.484032089,Northeast,ME
415,0,White,-0.5,18-29,Some college,0.506188355,South,FL
416,1,White,0.5,70+,HS,0.35983750299999995,South,MD
417,0,Black,-0.5,40-49,Some college,0.547132256,South,TX
418,0,White,-0.5,70+,Post-grad,0.547132256,South,TX
419,0,White,-0.5,30-39,4-Year College,0.338717892,West,CA
420,1,White,-0.5,30-39,Post-grad,0.721610523,South,WV
421,0,White,-0.5,30-39,Post-grad,0.34813573700000006,Northeast,VT
422,0,White,0.5,40-49,4-Year College,0.519037458,South,NC
423,0,White,-0.5,40-49,4-Year College,0.382275815,Northeast,NY
424,1,White,-0.5,50-59,4-Year College,0.63624343,South,TN
425,0,White,0.5,40-49,4-Year College,0.471736237,South,VA
426,0,White,-0.5,60-69,4-Year College,0.409799486,North Central,IL
427,0,White,0.5,70+,4-Year College,0.5037553579999999,Northeast,PA
428,0,White,-0.5,30-39,Some college,0.409799486,North Central,IL
429,1,White,-0.5,60-69,Some college,0.506188355,South,FL
430,0,White,-0.5,40-49,4-Year College,0.601173095,North Central,IN
431,0,White,-0.5,30-39,Some college,0.473166666,West,CO
432,0,White,-0.5,50-59,4-Year College,0.5037553579999999,Northeast,PA
433,0,White,0.5,50-59,4-Year College,0.542676846,North Central,OH
434,1,White,0.5,18-29,HS,0.382275815,Northeast,NY
435,0,White,-0.5,18-29,HS,0.6017167720000001,South,LA
436,1,White,0.5,50-59,Post-grad,0.338717892,West,CA
